Compound,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity,energy,energy_per_atom,volume
BaTe4Y2,1.690722548,1.743133104,-0.30772979,1.736821377,-0.933163832,-0.09549531,-0.866788418,-1.110316361,1.066819038,1.284781192,2.098173541,1.886690787,-0.998505301,-0.416275306,1.090798074,2.059190626,1.489484815,-1.124661255,-153.3646777,-5.477309917,1014.936425
Be3N2,-1.870403177,-2.188938054,-1.31838535,-1.748176959,0.068947588,-1.828941831,1.096679247,-0.164469287,-1.953335955,-1.738894293,1.661789832,1.061936357,1.989451509,-0.951672788,-1.263637959,-0.324115296,2.158699606,2.261432374,-266.0737525,-6.651843811,270.5830543
Be3P2,-1.609378255,-1.688492634,-1.31838535,-1.5270567,-0.637517217,-1.373067649,0.246287456,-0.679888617,-1.512345447,-1.084195327,2.074938912,1.47394686,1.736662833,-1.189255801,-1.119434424,-0.295975905,2.255536618,2.263966322,-364.5722033,-4.557152542,1067.369232
BeBr2,-0.282501567,-0.520786654,0.25374552,-0.272972799,0.772641943,1.341426279,0.874056186,-0.466275671,-1.047835447,-0.739616925,0.588886458,-0.107187797,0.621345517,2.906316728,-0.578671169,0.07854599,0.382153575,0.639101405,-20.28144597,-3.380240995,203.4573834
BeCl2,-1.261345025,-1.354862354,0.25374552,-1.238852864,1.049686964,1.575923714,1.278103696,-0.272080814,-1.341829116,-1.227769661,0.333394568,-0.241037111,0.629118848,-0.212221808,-0.539174863,-0.356944586,0.306136372,0.636816221,-280.8104551,-3.90014521,3874.563057
BeCsF3,-0.891559719,-1.188047214,-0.139287198,-0.810397594,1.527589626,1.188434383,1.98424801,0.685973133,-0.471607849,-1.066966407,-0.601475452,-0.857457602,0.582789803,-0.167469537,-1.166703939,-1.015037844,-0.472266001,0.042510953,-104.0817774,-5.204088872,388.9336142
BeF2,-1.696386562,-2.188938054,0.25374552,-1.596304542,2.185571553,1.373064822,2.838212507,0.702755357,-2.165011399,-2.376364338,0.013230448,-0.463162957,1.165478583,-0.409834095,-1.176998189,-0.849383929,0.189713298,0.637200117,-271.0505823,-5.646887131,553.6774098
BeGa2O4,-1.152584641,-1.474016026,0.628062393,-1.117831491,1.209977298,-0.50481178,0.792224411,0.591094999,-1.585423876,-1.822577617,-0.861408821,-0.057422084,0.545611079,-0.384816369,-0.533652583,-0.840243412,0.601914444,-0.171677303,-266.3606616,-6.341920515,478.8953702
BeI2,0.696341892,0.313289046,0.25374552,0.748317709,0.357074411,1.056772447,0.396922731,-0.681186628,-0.665643672,-0.194034452,0.916447109,0.073892273,0.217132384,1.317947276,0.186044545,0.406838885,0.485889755,0.645708436,-136.0434202,-2.834237921,1805.555992
BeLiN,-1.913907331,-2.188938054,-1.711418068,-1.781538391,-0.54332191,-1.53488949,0.225912442,2.244872749,-1.532925006,-1.213412229,0.568430851,0.634292559,3.477266774,-0.731990683,-1.514397486,-0.611539076,1.393835856,1.492580094,-66.41975051,-5.534979209,103.184733
BeLiP,-1.696386562,-1.771900205,-1.711418068,-1.597271508,-1.13204258,-1.15499434,-0.482747383,1.815356641,-1.165432913,-0.667829756,0.91272175,0.977634645,3.266609545,-0.929976528,-1.394227873,-0.588089584,1.474533366,1.494691719,-25.6125589,-4.268759817,78.12979472
BeLiSb,-0.717543104,-0.937824504,-1.711418068,-0.610422393,-1.229008338,-1.004478623,-0.811618377,1.678203137,-0.783241142,-0.22274932,1.707209408,1.919438434,2.829748426,-0.877454245,-0.370265128,1.008150873,1.941304184,1.737808233,-21.02219011,-3.503698352,102.2322502
BeNaSb,-0.500022335,-0.520786654,-1.711418068,-0.436053337,-1.263638965,-1.037080281,-0.855853566,0.439535961,-0.121755381,0.207973683,1.595169577,1.588520373,0.999906665,-0.751565133,-0.279297572,0.974651596,1.528963363,2.306578641,-19.38127142,-3.230211903,141.2561081
BeO,-1.805146946,-2.188938054,-0.728836274,-1.699454883,0.789957256,-0.770129029,1.129831607,0.346519717,-2.010664721,-2.010249785,1.035543448,0.499745454,1.664137669,-0.795327476,-1.245171335,-0.532145794,1.425112524,1.652342247,-56.72994552,-7.09124319,58.19789971
BeO4Y2,-0.966138268,-1.116555012,-0.30772979,-0.939121173,0.859713236,-0.502020144,0.824941024,0.280628743,-1.018436078,-1.170339928,0.871301565,0.632132141,0.495639674,-0.368806732,-0.791519044,-0.423177438,1.374014024,-0.374304467,-238.2744111,-8.509800396,374.2360081
BeS,-1.478865794,-1.563381279,-0.728836274,-1.437559057,-0.103512938,-0.34021811,0.27415771,-0.425630266,-1.39327801,-1.148803778,1.714236113,1.178332925,1.41927779,-1.169520721,-1.077837251,-0.342707394,1.508132129,1.656013392,-9.98932245,-4.994661225,28.95580466
BeSe,-0.7447332,-0.937824504,-0.728836274,-0.673383867,-0.134680503,-0.380082674,0.1145757,-0.566380036,-1.172782756,-0.847297676,1.928796467,1.438264283,0.968036013,-1.0203029,-0.176880289,0.118326379,1.71375656,1.682850667,-8.82045458,-4.41022729,34.82367641
BeTe,-0.010600606,-0.312267729,-0.728836274,0.119311404,-0.602193977,-0.414419798,-0.080506624,-0.736101764,-0.81999035,-0.438110822,2.393538382,1.765895222,0.829282082,-0.999738521,0.270919586,1.638355983,2.020051286,1.687548327,-7.60037396,-3.80018698,45.50551194
Br2Ca,0.15253997,0.313289046,0.25374552,0.064574579,0.377852788,1.341426279,0.312098774,-0.743222213,0.098739873,0.337190584,-0.013944352,-0.816514187,-0.294352696,3.260674033,-0.641277016,0.12795742,-0.813374421,0.639101405,-22.83643818,-3.80607303,205.7212195
Br2Cd,0.91386266,0.730326896,1.345503068,0.850316382,0.85575545,1.341426279,0.816472687,-0.523191646,-0.092356012,-0.150962152,-0.719637064,-1.333370916,-0.617723204,3.264073412,0.8503388,-0.05963852,-1.273677478,-0.41357846,-13.6875679,-2.281261317,204.8832929
Br2Hg,1.783945734,1.147364747,1.345503068,1.808591091,1.001204086,1.341426279,1.06924619,-0.442437741,-0.018857593,-0.265821621,-1.207182239,-1.629198226,-0.688460501,3.337402887,1.876402412,-0.395468752,-1.614452935,-1.307245073,-14.6122277,-1.623580856,305.1210437
Br2Mg,-0.064980799,-0.103748804,0.25374552,-0.106763201,0.592562679,1.341426279,0.580524426,-0.60501805,-0.753841774,-0.150962152,-0.27404214,-1.100533087,-0.002075508,3.221076864,-0.60178071,0.14135713,-1.040754052,0.184489179,-9.39603983,-3.132013277,91.82753555
Br2Sr,0.641961699,0.730326896,0.25374552,0.58108682,0.343222159,1.341426279,0.238856999,-0.779989575,0.363334178,0.566909518,-0.101998291,-0.893646223,-0.559423233,3.292837394,-0.414383342,0.082733399,-0.962636927,-1.034881836,-113.7515523,-3.791718409,1004.471178
Br2Zn,0.42444093,0.313289046,1.345503068,0.33956248,0.828050946,1.341426279,0.886574925,-0.477055295,-0.342250635,-0.438110822,-0.586258377,-1.232450495,-0.495681931,3.240539246,0.533107831,0.028297077,-1.144070249,-0.219610577,-116.2528895,-2.421935197,1563.146868
Br3CaCs,0.641961699,0.813734466,-0.139287198,0.583129401,0.019079484,1.159959694,-0.120667125,-0.532322718,1.221795701,1.05219077,-0.445083529,-0.962675791,-0.456348883,3.029680586,-0.665773129,-0.150254059,-1.016386548,0.044222113,-17.74246446,-3.548492892,192.3606624
Br3CaK,0.054655624,0.313289046,-0.139287198,-0.028341128,0.03154651,1.168289936,-0.073733457,-0.310241247,0.622048611,0.724841288,-0.416635334,-0.924614375,-0.216153002,2.971181373,-0.794724367,-0.13819432,-0.970221848,0.44731162,-35.587451,-3.5587451,337.4395257
Br3CaRb,0.348308662,0.563511756,-0.139287198,0.273939133,0.03154651,1.163948942,-0.090913466,-0.424013782,0.869003295,0.854058189,-0.436305229,-0.955323018,-0.399914511,3.003905071,-0.709513187,-0.145229168,-1.009028419,0.179393482,-70.84584349,-3.542292175,712.9985183
Br3CdCs,1.098755313,1.063957176,0.515767332,1.054574483,0.305821081,1.159959694,0.181957222,-0.400304377,1.107138169,0.759299128,-0.868499156,-1.272789829,-0.650371188,3.031720214,0.22919636,-0.262811623,-1.292568383,-0.587385806,-26.22740029,-2.622740029,371.8157879
Br3CdRb,0.805102276,0.813734466,0.515767332,0.745384215,0.318288107,1.163948942,0.211710881,-0.291995441,0.754345763,0.561166546,-0.859720856,-1.265437055,-0.593936815,3.005944699,0.185456302,-0.257786732,-1.285210254,-0.452214438,-52.24710424,-2.612355212,670.5047671
Br3CsHg,1.620805157,1.314179886,0.515767332,1.62953931,0.393090263,1.159959694,0.333621326,-0.351852035,1.15123722,0.690383447,-1.161026261,-1.450286215,-0.692813567,3.075717899,0.844834528,-0.464309762,-1.497033657,-1.123585773,-11.05886109,-2.211772218,184.7065532
Br3CsMg,0.511449238,0.563511756,-0.139287198,0.480326733,0.147905419,1.159959694,0.040388266,-0.44940022,0.710246712,0.759299128,-0.601142202,-1.133087131,-0.28098257,3.005922285,-0.642075346,-0.142214233,-1.152814327,-0.228545222,-31.42535277,-3.142535277,350.7184579
Br3CsSr,0.935614737,1.063957176,-0.139287198,0.893036746,-0.001698893,1.159959694,-0.164612189,-0.554383135,1.380552284,1.190022131,-0.497915892,-1.008955013,-0.615391205,3.048978603,-0.529636925,-0.177388472,-1.105944052,-0.960167832,-35.22129032,-3.522129032,412.081327
Br3Ga,0.478821123,0.313289046,1.563854579,0.414257929,1.137995065,1.837523285,0.546677965,-0.353871723,-0.555396045,-0.416574672,-1.126778901,-0.670576049,-0.487714268,3.728219472,0.127220259,-0.114702953,-0.468514615,-1.083570805,-45.10587112,-2.819116945,665.0579328
Br3In,0.84588742,0.626067434,1.563854579,0.781596568,1.122411282,1.837523285,0.518715132,-0.407764925,-0.489247469,-0.211981245,-0.997913249,-0.779786362,-0.569334228,3.748111446,0.348756721,-0.261052911,-0.655680725,-0.772919117,-22.04148293,-2.755185366,281.9431989
Br3La,1.009027996,0.938845821,0.745036417,0.977977695,0.76917888,1.907314188,0.491209415,-0.663700703,0.061990666,0.347958659,-0.222293518,-0.002879333,-0.591488217,3.758477686,0.165351002,-0.076388158,0.435565108,-1.288903994,-35.8713055,-4.483913188,258.0996858
Br3Y,0.641961699,0.626067434,0.745036417,0.570629457,0.83151401,1.839965966,0.575305001,-0.625529697,-0.059281724,0.154133308,0.389342686,-0.067216102,-0.531439246,3.742227904,-0.098412894,0.250229774,0.207072518,-1.260869573,-38.07605319,-4.759506649,313.4660832
BrCs,1.376094293,1.564402597,-0.728836274,1.360961636,-0.51908047,0.887759816,-0.769815973,-0.215973475,2.906379441,2.124691049,-1.091792294,-1.181918198,-0.699343163,2.683190417,-0.702517299,-0.567571278,-1.32090474,-0.848096826,-6.10411465,-3.052057325,101.3921908
BrK,-0.092170894,0.313289046,-0.728836274,-0.167714688,-0.487912905,0.908585422,-0.652481804,0.339230201,1.407011715,1.306317342,-1.020671805,-1.086764658,-0.09885346,2.536942383,-1.024895394,-0.53742193,-1.205492988,0.159626942,-6.27069285,-3.135346425,75.73529843
BrLi,-0.7447332,-0.937824504,-0.728836274,-0.691815987,-0.321685892,0.989912762,-0.376438254,3.223188979,-0.643594147,-0.20121317,-0.782926171,-0.456372455,3.195094913,2.271342505,-1.126052156,-0.453255002,-0.321005544,-0.108594271,-13.36732186,-3.341830465,103.4228741
BrNa,-0.418452047,-0.312267729,-0.728836274,-0.430262402,-0.373631834,0.941010276,-0.442791037,1.365188216,0.348634496,0.444871335,-0.950985918,-0.952749547,0.450332269,2.460176174,-0.989600822,-0.503503914,-0.939516778,0.74456134,-6.11482283,-3.057411415,54.74851882
BrRb,0.641961699,0.938845821,-0.728836274,0.587985964,-0.487912905,0.897732936,-0.695431825,0.054798866,2.024398425,1.629359595,-1.069846543,-1.163536264,-0.558257233,2.618751628,-0.811867445,-0.55500905,-1.302509417,-0.510168404,-6.14064914,-3.07032457,86.78050691
Ca3N2,-1.08732841,-0.687601794,-1.31838535,-1.14059168,-0.641672892,-1.828941831,0.085155902,-0.662973062,0.110499622,0.199359223,0.576694374,-0.214851144,0.341194723,-0.313829638,-1.376328483,-0.235174721,0.006749216,2.261432374,-213.0678551,-5.326696378,755.5918609
CaCl2,-0.826303488,-0.520786654,0.25374552,-0.901305487,0.654897808,1.575923714,0.716146286,-0.549027355,-0.195253796,-0.150962152,-0.269436242,-0.9503635,-0.286579367,0.142135497,-0.60178071,-0.307533155,-0.889391623,0.636816221,-51.52623445,-4.293852871,341.2807729
CaCl3K,-0.826303488,-0.437379084,-0.139287198,-0.897633187,0.280887029,1.379337628,0.289909302,-0.135465875,0.357454306,0.285503824,-0.646578034,-1.045078757,-0.209157006,0.16449669,-0.759177692,-0.530135838,-1.038637329,0.445254955,-39.70622032,-3.970622032,320.0023401
CaCl3Rb,-0.532650451,-0.187156374,-0.139287198,-0.595352926,0.280887029,1.374996634,0.272729294,-0.249238409,0.60440899,0.414720725,-0.666247929,-1.075787399,-0.392918515,0.197220388,-0.673966512,-0.537170686,-1.077443901,0.177336816,-39.51124788,-3.951124788,314.4867547
CaCsF3,-0.630534796,-0.687601794,-0.139287198,-0.607869167,1.290716133,1.188434383,1.647073561,0.519805207,0.216337343,-0.420881902,-0.963173938,-1.283053435,0.033370875,0.045144846,-1.204267448,-0.985390986,-1.189582797,0.042510953,-25.86332587,-5.172665174,96.29010085
CaCsI3,1.522920812,1.564402597,-0.139287198,1.502290858,-0.354931295,0.903771245,-0.550087234,-0.725742579,1.565768297,1.543214994,-0.150278943,-0.799703728,-0.820140704,1.60014808,0.022471014,0.145209547,-0.923023985,0.050168441,-62.1923139,-3.109615695,932.3985874
CaF2,-1.261345025,-1.354862354,0.25374552,-1.258757164,1.790782397,1.373064822,2.276255092,0.425808815,-1.018436078,-1.299556829,-0.589600362,-1.172489347,0.249780368,-0.05547679,-1.239604037,-0.799972498,-1.005814698,0.637200117,-69.68277018,-5.806897515,155.1089928
CaF3K,-1.217840871,-1.188047214,-0.139287198,-1.219339697,1.303183159,1.196764625,1.694007229,0.741886678,-0.383409747,-0.748231385,-0.934725742,-1.244992019,0.273566756,-0.013354367,-1.333218685,-0.973331247,-1.143418097,0.44560046,-104.3545541,-5.217727705,346.6563989
CaF3Rb,-0.924187834,-0.937824504,-0.139287198,-0.917059436,1.303183159,1.192423631,1.67682722,0.628114144,-0.136455063,-0.619014484,-0.954395638,-1.275700662,0.089805247,0.019369331,-1.248007506,-0.980366094,-1.182224668,0.177682321,-25.92665528,-5.185331056,92.17004426
CaGa2O4,-0.966138268,-1.116555012,0.628062393,-0.973168329,1.040781946,-0.50481178,0.551385521,0.472403624,-1.094034451,-1.361088686,-1.119764882,-0.361419107,0.153168988,-0.232948952,-0.56048366,-0.819067085,0.089545304,-0.171677303,-348.400815,-6.221443125,757.2211652
CaGa2S4,-0.593245522,-0.401632982,0.628062393,-0.673858813,0.019673151,-0.013485016,-0.426527504,-0.4100535,-0.388449638,-0.376578966,-0.344116122,0.41410943,-0.126670874,-0.660598375,-0.369244707,-0.602566056,0.184424852,-0.167481708,-259.3586297,-4.631404101,1263.856037
CaGa2Se4,0.245763156,0.313289046,0.628062393,0.199484261,-0.015946922,-0.059044518,-0.608906945,-0.57091038,-0.136455063,-0.032000563,-0.098904288,0.711173839,-0.642375764,-0.490063723,0.660420392,-0.075670316,0.419424202,-0.136810537,-232.4192547,-4.150343834,1461.947769
CaI2,1.131383428,1.147364747,0.25374552,1.085865086,-0.037714745,1.056772447,-0.165034681,-0.95813317,0.480931648,0.882773057,0.313616299,-0.635434117,-0.698565831,1.672304582,0.123438698,0.456250316,-0.709638239,0.645708436,-9.97760348,-3.325867827,144.1576371
CaI3Rb,1.229267774,1.314179886,-0.139287198,1.193100589,-0.342464269,0.907760493,-0.520333575,-0.617433643,1.212975891,1.345082413,-0.141500642,-0.792350954,-0.763706332,1.574372564,-0.021269045,0.150234438,-0.915665856,0.18533981,-61.98540378,-3.099270189,878.9484263
CaIn2O4,-0.546633929,-0.759093997,0.628062393,-0.553352742,1.022971908,-0.50481178,0.519427996,0.410811394,-1.018436078,-1.127267628,-0.972489851,-0.486230894,0.059889034,-0.210215268,-0.307299132,-0.98632418,-0.124358822,0.183353197,-82.65412857,-5.903866326,206.9591296
CaIn2Te4,1.504276174,1.385672089,0.628062393,1.5252373,-0.568058073,-0.098286946,-0.863815695,-0.8264703,0.342334633,0.669462615,0.579504359,0.960797413,-0.89423164,-0.443827891,1.425376206,1.49424928,0.55557119,0.223588719,-24.44598922,-3.492284174,244.3437234
CaLa2S4,0.012705191,0.313289046,-0.30772979,-0.029607652,-0.40183106,0.066276016,-0.489920133,-0.764143763,0.317135174,0.497173414,0.689581459,1.177191391,-0.245269673,-0.62601756,-0.325666716,-0.558777718,1.217658819,-0.402148208,-87.19360795,-6.228114854,328.5571393
CaLa2Te4,1.690722548,1.743133104,-0.30772979,1.749672874,-0.971752247,-0.018525914,-0.8952508,-1.118968332,0.972321069,1.309393937,1.465926909,1.848691158,-0.919550482,-0.431980759,1.215769669,1.705294713,1.802709286,-0.366108285,-71.36596749,-5.097569106,453.4133992
CaLiN,-1.478865794,-1.354862354,-1.711418068,-1.443991014,-0.938111066,-1.53488949,-0.336044971,1.967926207,-0.386349685,-0.13660472,-0.03439996,-0.07503383,2.561568558,-0.377633378,-1.577003332,-0.562127645,0.19830786,1.492580094,-56.77383543,-4.731152953,173.5510548
CaLiSb,-0.282501567,-0.103748804,-1.711418068,-0.272875016,-1.623797494,-1.004478623,-1.373575791,1.401256595,0.363334178,0.854058189,1.104378598,1.210112044,1.914050213,-0.52309694,-0.432870975,1.057562302,0.74577619,1.737808233,-43.48633029,-3.623860858,298.0225646
CaO,-1.152584641,-0.937824504,-0.728836274,-1.193133817,0.197773523,-0.770129029,0.286895486,-0.068900096,-0.290801741,-0.395038522,0.131297233,-0.564244131,0.290590348,-0.263791518,-1.339080105,-0.458028648,-0.368179468,1.652342247,-25.49662752,-6.37415688,67.00683558
CaO4Sc2,-1.199196234,-1.116555012,-0.30772979,-1.203750271,0.773631389,-0.549477959,0.635757099,0.183497363,-0.741242044,-0.91805931,0.635007369,0.013634131,0.283094636,-0.249278782,-1.08612067,-0.071793971,0.440460388,-0.38642746,-232.7939764,-8.314070585,337.392667
CaO4Y2,-0.779691895,-0.759093997,-0.30772979,-0.794458012,0.690517882,-0.502020144,0.584102134,0.161937368,-0.527046657,-0.708850996,0.612945503,0.328135116,0.103197583,-0.216939315,-0.818350121,-0.402001111,0.861644885,-0.374304467,-231.7869536,-8.278105484,399.2677329
CaRbSb,0.641961699,1.147364747,-1.711418068,0.580326285,-1.734615502,-1.065931841,-1.586238172,-0.711003481,2.141995896,2.074440031,0.91309835,0.738669505,-0.588184551,-0.291490859,-0.223414501,0.98972627,0.091440274,1.470092145,-19.02808976,-3.171348293,250.8689783
CaS,-0.826303488,-0.312267729,-0.728836274,-0.93123799,-0.695696671,-0.34021811,-0.56877841,-0.841050079,0.32658497,0.466407485,0.809989897,0.11434334,0.045730469,-0.637984763,-1.171746021,-0.268590248,-0.285159864,1.656013392,-10.43881148,-5.21940574,46.69512987
CaS4Sc2,-0.826303488,-0.401632982,-0.30772979,-0.904440755,-0.247477404,-0.058151194,-0.342155927,-0.69895976,-0.035657232,0.06645041,1.410656129,0.789162668,0.003254775,-0.676928205,-0.894881717,0.144707058,0.535339936,-0.382231865,-180.2133447,-6.436190883,586.0787296
CaS4Y2,-0.406799149,-0.044171969,-0.30772979,-0.495148496,-0.33059091,-0.01069338,-0.393810892,-0.720519755,0.178538155,0.275658728,1.388594263,1.103663656,-0.176642279,-0.644588738,-0.627111168,-0.185500082,0.956524432,-0.370108872,-184.7061931,-6.596649755,671.4669791
CaSe,-0.092170894,0.313289046,-0.728836274,-0.1670628,-0.726864236,-0.380082674,-0.728360421,-0.981799849,0.547080224,0.767913588,1.024550252,0.374274698,-0.405511309,-0.488766942,-0.270789059,0.192443525,-0.079535432,1.682850667,-9.54626754,-4.77313377,53.05137671
CaTe,0.641961699,0.938845821,-0.728836274,0.62563247,-1.19437771,-0.414419798,-0.923442744,-1.151521577,0.899872631,1.177100441,1.489292166,0.701905637,-0.54426524,-0.468202563,0.177010816,1.712473129,0.226759294,1.687548327,-33.5090204,-4.18862755,264.7697668
Cd3N2,0.283052431,0.063066336,0.646778238,0.273743566,0.2185519,-1.828941831,0.993028943,-0.26691804,-0.233472975,-0.679315704,-0.693552507,-1.145193257,-0.24087219,-0.307710755,1.308579986,-0.572847414,-0.821796287,0.366608616,-133.0990252,-3.327475631,666.722579
Cd3P2,0.544077353,0.563511756,0.646778238,0.494863826,-0.487912905,-1.373067649,0.142637152,-0.78233737,0.207517533,-0.024616739,-0.280403428,-0.733182753,-0.493660865,-0.545293768,1.452783521,-0.544708023,-0.724959275,0.369142564,-110.6693087,-2.766732717,984.2406368
CdCl2,-0.064980799,-0.103748804,1.345503068,-0.115563683,1.132800471,1.575923714,1.220520197,-0.328996787,-0.386349685,-0.639114892,-0.975128954,-1.467220229,-0.609949875,0.145534876,0.889835106,-0.495129096,-1.34969468,-0.415863644,-7.87903218,-2.62634406,84.29808571
CdCl3Cs,0.217796201,0.313289046,0.515767332,0.185282425,0.555161601,1.371007386,0.545599981,-0.225529005,0.842543865,0.319961664,-1.098441857,-1.39325421,-0.643375191,0.225035531,0.264743036,-0.654753141,-1.360983864,-0.589442472,-88.35413953,-2.945137984,937.8964057
CdCl3K,-0.369509874,-0.187156374,0.515767332,-0.426188105,0.567628627,1.379337628,0.592533649,-0.003447534,0.242796774,-0.007387819,-1.069993661,-1.355192794,-0.40317931,0.166536318,0.135791798,-0.642693402,-1.314819164,-0.186352965,-59.36117685,-2.968058843,546.8257479
CdCl3Rb,-0.075856837,0.063066336,0.515767332,-0.123907844,0.567628627,1.374996634,0.57535364,-0.117220068,0.489751458,0.121829083,-1.089663556,-1.385901437,-0.586940819,0.199260016,0.221002978,-0.64972825,-1.353625735,-0.454271103,-58.97502849,-2.948751424,581.1002017
CdCsF3,-0.173741183,-0.437379084,0.515767332,-0.136424085,1.57745773,1.188434383,1.949697908,0.651823548,0.101679811,-0.713773544,-1.386589565,-1.593167473,-0.160651429,0.047184474,-0.309297958,-1.09794855,-1.465764632,-0.589096967,-19.70974251,-3.941948502,95.00605594
CdF2,-0.500022335,-0.937824504,1.345503068,-0.473015361,2.268685059,1.373064822,2.780629003,0.645839383,-1.209531964,-1.787709565,-1.295293074,-1.689346076,-0.07359014,-0.05207741,0.25201178,-0.987568439,-1.466117755,-0.415479748,-11.26375289,-3.754584297,41.42517164
CdF3K,-0.761047258,-0.937824504,0.515767332,-0.747894615,1.589924756,1.196764625,1.996631576,0.873905019,-0.498067279,-1.041123027,-1.35814137,-1.555106057,0.079544452,-0.01131474,-0.438249196,-1.085888811,-1.419599931,-0.186007459,-79.79994309,-3.989997154,342.4830193
CdF3Na,-0.891559719,-1.188047214,0.515767332,-0.8529137,1.635637185,1.209734566,2.080507883,1.284288224,-0.921418167,-1.38570143,-1.330267015,-1.501500012,0.299218743,-0.042021223,-0.424131367,-1.072321604,-1.313209447,0.0479663,-39.92142317,-3.992142317,151.1963438
CdF3Rb,-0.46739422,-0.687601794,0.515767332,-0.445614354,1.589924756,1.192423631,1.979451567,0.760132484,-0.251112595,-0.911906126,-1.377811265,-1.585814699,-0.104217057,0.021408958,-0.353038016,-1.092923659,-1.458406503,-0.453925598,-19.77858812,-3.955717624,91.30296804
CdGa2O4,-0.639857115,-0.937824504,1.095958486,-0.636421842,1.245597372,-0.50481178,0.767545771,0.566702439,-1.17593269,-1.570297004,-1.422204616,-0.582929135,0.014581626,-0.231492075,0.078780261,-0.899465345,-0.107727435,-0.622825818,-457.2947611,-5.443985251,1006.083849
CdGa2S4,-0.266964369,-0.222902476,1.095958486,-0.337112326,0.224488579,-0.013485016,-0.210367257,-0.315754686,-0.470347877,-0.585787279,-0.646555856,0.192599404,-0.265258235,-0.659141498,0.270019215,-0.682964316,-0.012847887,-0.618630223,-28.30555782,-4.043651117,165.2527934
CdGa2Se4,0.572044309,0.492019554,1.095958486,0.536230748,0.188868505,-0.059044518,-0.392746697,-0.476611566,-0.218353302,-0.241208876,-0.401344022,0.489663813,-0.780963123,-0.488606846,1.299684313,-0.156068576,0.222151464,-0.587959051,-25.29924638,-3.614178054,189.7185603
CdGa2Te4,1.411052988,1.206941582,1.095958486,1.442168201,-0.345432608,-0.098286946,-0.615697924,-0.670579255,0.184838022,0.226433239,0.129789594,0.864099172,-0.939539045,-0.465104698,1.811455599,1.581108116,0.572202578,-0.582590296,-22.2061507,-3.172307243,236.3597997
CdI2,1.892706118,1.564402597,1.345503068,1.871606891,0.440187917,1.056772447,0.339339231,-0.738102602,0.289835763,0.394620317,-0.392076413,-1.152290846,-1.021936337,1.675703961,1.615054515,0.268654375,-1.169941297,-0.406971429,-165.9940903,-1.907978049,3448.564753
CdIn2O4,-0.220352776,-0.580363489,1.095958486,-0.216606255,1.227787336,-0.50481178,0.735588245,0.505110208,-1.100334318,-1.336475946,-1.274929585,-0.707740921,-0.078698327,-0.208758391,0.331964789,-1.06672244,-0.321631561,-0.267795318,-72.8488727,-5.203490907,203.0864773
CdIn2S4,0.15253997,0.134558539,1.095958486,0.082703261,0.206678541,-0.013485016,-0.24232478,-0.377346916,-0.394749505,-0.351966221,-0.499280825,0.067787618,-0.358538189,-0.636407814,0.523203742,-0.850221411,-0.226752014,-0.263599723,-54.20459439,-3.871756742,335.3723234
CdIn2Se4,0.991548649,0.849480568,1.095958486,0.956046335,0.171058467,-0.059044518,-0.42470422,-0.538203796,-0.142754925,-0.007387819,-0.254068991,0.364852026,-0.874243077,-0.465873161,1.552868841,-0.323325671,0.008247337,-0.232928551,-48.33074575,-3.452196125,387.8578508
CdIn2Te4,1.830557327,1.564402597,1.095958486,1.861983788,-0.363242646,-0.098286946,-0.647655447,-0.732171485,0.260436394,0.460254301,0.277064625,0.739287385,-1.032818999,-0.442371014,2.064640127,1.41385102,0.358298452,-0.227559796,-21.62944865,-3.089921236,261.197814
CdLa2S4,0.338986343,0.492019554,0.1601663,0.307138835,-0.197015633,0.066276016,-0.273759885,-0.669844948,0.235236935,0.2879651,0.387141725,0.955681363,-0.383857034,-0.624560683,0.313597206,-0.639175978,1.020386081,-0.853296723,-77.87854035,-5.562752882,332.5145395
CdLa2Se4,1.177995021,1.206941582,0.1601663,1.180481907,-0.232635707,0.020716515,-0.456139326,-0.830701828,0.487231511,0.632543503,0.632353559,1.252745774,-0.899561922,-0.454026029,1.343262304,-0.112280238,1.255385432,-0.822625551,-71.07435254,-5.076739467,375.1773072
CdLa2Te4,2.0170037,1.921863611,0.1601663,2.086419362,-0.766936819,-0.018525914,-0.679090553,-1.024669517,0.890422835,1.100185619,1.163487175,1.627181133,-1.058137844,-0.430523882,1.85503359,1.624896453,1.605436548,-0.817256799,-62.98361141,-4.498829386,455.3229269
CdLiP,-0.500022335,-0.520786654,-0.619660519,-0.473982327,-1.048929074,-1.15499434,-0.540330885,1.758440667,-0.209953482,-0.079174987,-0.395801772,-0.248548473,2.027540822,-0.572219843,0.034782096,-0.726274093,-0.181297686,0.442011851,-8.6114173,-2.870472433,52.87502006
CdNaSb,0.696341892,0.730326896,-0.619660519,0.687235844,-1.180525458,-1.037080281,-0.913437068,0.382619987,0.833724054,0.796628456,0.286646055,0.362337254,-0.239162058,-0.393808449,1.149712397,0.836467087,-0.12686769,1.253898777,-29.44286756,-2.453572297,334.2173774
CdO,-0.010600606,-0.312267729,0.908800049,-0.014521112,0.914627516,-0.770129029,1.043456354,0.261145756,-0.577445571,-1.127267628,-0.927241835,-1.339529224,-0.194465413,-0.258692448,0.898343619,-0.739422559,-1.058634053,0.073322448,-15.79654245,-3.949135613,68.47404146
